title,timestamp_first,timestamp_end,def_first,def_end,label,comment
The Witches of Eastwick (film),2021-09-13T20:29:28Z,2021-09-15T11:44:51Z,"The Witches of Eastwick is a 1987 American dark fantasy-comedy film about three dissatisfied women living in the picturesque town of Eastwick, Rhode Island who unwittingly form a coven, and the mysterious man who arrives in town and scandalously buys the town's landmark property.","The Witches of Eastwick is a 1987 American dark fantasy-comedy film directed by George Miller and starring Jack Nicholson as Daryl Van Horne, based on John Updike's 1984 novel of the same name, following the story of three dissatisfied women living in the picturesque town of Eastwick, Rhode Island.",0,
Debby Bogaert,2021-09-20T21:36:33Z,2021-09-29T01:31:58Z,Bogaert is a British physician and professor of paediatric infectious diseases at the University of Edinburgh whose research focuses on the physiology and pathophysiology of respiratory infections.,Bogaert is a British physician and Professor of Paediatric Infectious Diseases at the University of Edinburgh whose research focuses on the physiology and pathophysiology of respiratory infections.,0,
Marcel Lemoine,2021-09-06T18:30:55Z,2021-09-07T08:17:29Z,Marcel Lemoine is a Belgian footballer who played in three matches for the Belgium national football team in 1966.,Marcel Lemoine is a Belgian footballer who played in three matches for the Belgium national football team in 1966.,0,
Jacquelyn Reingold,2021-09-04T03:07:06Z,2021-09-23T18:15:23Z,"She is a playwright who wrote the plays ""The Thugs,"" ""The Castle,"" and ""The Unmentionables,"" and was a writer and consulting producer for the television series ""The Good Wife.""","Jacquelyn Reingold is an American playwright, screenwriter, and producer.",0,
Mostaccino,2021-09-06T13:59:10Z,2021-09-19T10:31:05Z,"Mostaccino is a spicy cookie typical of Crema, Lombardy in Italy, made with nutmeg, cinnamon, cloves, mace, coriander, star anise, black pepper and cocoa.","Mostaccino is a spicy cookie typical of Crema, Lombardy, Italy, with a spicy flavour and ingredients including nutmeg, cinnamon, cloves, mace, cilantro, star anise, black pepper and cocoa.",0,
Dayananda Saraswati,2021-09-07T04:57:32Z,2021-09-30T14:45:45Z,"Dayananda Saraswati (pronunciation (help·info)) (12 February 1824 – 30 October 1883) was an Indian philosopher, social leader and founder of the Arya Samaj, a reform movement of the Vedic dharma.","Dayananda Saraswati was an Indian philosopher, social leader, and founder of the Arya Samaj who called for India to be ""India for Indians"" in 1876.",0,1st def 
Heljo,2021-09-10T06:04:41Z,2021-09-10T06:28:54Z,The name Heljo is a feminine given name found in Estonia.,Heljo is an Estonian feminine given name.,0,
Cr1TiKaL,2021-09-03T07:02:28Z,2021-10-01T19:29:10Z,"Charles White Jr. (born August 2, 1994), known online as Cr1TiKaL or MoistCr1TiKaL, is an American YouTuber and Twitch streamer popular for his gameplay and commentary videos of various video games on his penguinz0 YouTube channel.","Charles White Jr. is an American YouTuber and Twitch streamer known for his video game commentary videos on his 'penguinz0' YouTube channel and his comedic commentary, which have established him as a well-known and well-respected personality within the YouTube community.",0,
Lady Hyegyeong,2021-09-13T06:57:59Z,2021-09-25T06:12:31Z,Lady Hyegyeong was a Korean writer and crown princess during the Joseon Dynasty.,Lady Hyegyeong was a Korean writer and crown princess during the Joseon Dynasty.,0,
Battle of Cnidus,2021-09-05T04:38:32Z,2021-09-09T12:07:24Z,The Battle of Cnidus was a military operation conducted in 394 BC by the Achaemenid Empire against the Spartan naval fleet during the Corinthian War.,The Battle of Cnidus was a military operation conducted in 394 BC by the Achaemenid Empire against the Spartan naval fleet which resulted in the Achaemenid fleet's victory and the destruction of the Spartan fleet.,0,
Vajiralongkorn,2021-09-04T14:29:28Z,2021-10-01T11:49:01Z,"Vajiralongkorn is the King of Thailand and the tenth monarch of the Chakri dynasty, styled as Rama X.",Vajiralongkorn is the King of Thailand.,1,
Mad Clip,2021-09-02T09:15:53Z,2021-10-01T17:59:58Z,Mad Clip was a Greek-American rapper and member of the Capital Music label who released many well-known songs and four albums.,"Mad Clip was a Greek American rapper, signed to the Capital Music label, who kept the artistic name Mad Clip, which comes from the initials ""Money and Drugs, Can't Live in Poverty"".",1,
Susannah M. Porter,2021-09-24T20:59:57Z,2021-09-28T01:38:42Z,"Susannah M. Porter is an American paleontologist and geobiologist who studies the early evolution of eukaryotes, the early Cambrian fossil record of animals, and the evolution of skeletal biomineralization.","Susannah M. Porter is an American paleontologist and geobiologist who studies the early evolution of eukaryotes, the early Cambrian fossil record of animals, and the evolution of skeletal biomineralization.",0,
United Australia Party,2021-09-01T08:19:06Z,2021-09-24T19:21:41Z,The United Australia Party (UAP) was a political party that was founded in 1931 and dissolved in 1945.,"The United Australia Party (UAP) was an Australian political party that was founded in 1931 and dissolved in 1945 and won four federal elections, providing two Prime Ministers of Australia.",1,
Never Look Away,2021-09-01T12:19:26Z,2021-09-10T08:38:06Z,"Never Look Away (German: Werk ohne Autor, lit. 'Work Without Author') is a 2018 German coming-of-age romantic drama film written and directed by Florian Henckel von Donnersmarck.","""Never Look Away"" is a 2018 German coming-of-age romantic drama film written and directed by Florian Henckel von Donnersmarck.",0,
Giuseppe Cassella,2021-09-18T10:20:46Z,2021-09-19T22:37:49Z,"Giuseppe Antonio Pietro Cassella was an Italian astronomer, professor of Astronomy at the University of Naples, and the first director of the Astronomical Observatory of Naples.","Giuseppe Antonio Pietro Cassella was an Italian astronomer, professor of Astronomy at the University of Naples, and the first director of the Astronomical Observatory of Naples.",0,
Jalisco,2021-09-03T16:36:16Z,2021-09-24T18:54:55Z,"Jalisco is one of the 32 Federal Entities of Mexico located in Western Mexico, with industries centered in the Guadalajara metropolitan area, and is home to two significant indigenous populations and a significant foreign population.","Jalisco is a Free and Sovereign State of Mexico located in Western Mexico, known for its natural resources, long history, and culture, and is the origin of many characteristic traits of Mexican culture.",0,
Amsterdam Airport Schiphol,2021-09-01T08:29:41Z,2021-09-29T17:23:40Z,Schiphol Airport is the main international airport of the Netherlands located 9 kilometres (5.6 miles) southwest of Amsterdam.,"Amsterdam Airport Schiphol is the main international airport of the Netherlands, located 9 kilometres (5.6 miles) southwest of Amsterdam.",0,
Beverley McLachlin,2021-09-02T02:02:34Z,2021-09-26T22:41:01Z,Beverley Marian McLachlin is the longest-serving chief justice in Canadian history and the first woman to hold the position.,"Beverley Marian McLachlin is a Canadian jurist and author who served as the 17th Chief Justice of Canada from 2000 to 2017, and is considered by many to be among the finest legal minds in the history of the Supreme Court.",1,
Guido Lanfranco,2021-09-08T10:54:39Z,2021-09-15T00:59:37Z,Guido Lanfranco was a Maltese writer on natural history and folklore and was awarded the Bronze Medal of Merit by the Conference of Civic Councils in 1969 and the Midalja għall-Qadi tar-Repubblika in 1996.,"Guido Lanfranco was a Maltese writer on natural history and folklore and the first president of the Natural History Society of Malta, Din L-Art Ħelwa, and other societies, and president of the Malta Folklore Society.",1,
Dominic Raab,2021-09-01T13:58:44Z,2021-09-30T22:25:02Z,Dominic Rennie Raab is a British politician and member of the Conservative Party who has been Member of Parliament for Esher and Walton since 2010.,"Dominic Rennie Raab is a British politician serving as Deputy Prime Minister of the United Kingdom, Secretary of State for Justice and Lord Chancellor since 2021.",1,
Tasmanian News,2021-09-24T17:37:08Z,2021-10-01T17:33:41Z,"The Tasmanian News was an Australian afternoon newspaper based in Hobart, which was first published on Saturday 17 November 1883.","Tasmanian News was an Australian afternoon newspaper based in Hobart, first published as The Tasmanian News on Saturday 17 November 1883 and owned and edited by Henry Horatio Gill (1840–1914).",0,
