title,timestamp_first,timestamp_end,def_first,def_end,label
Marie Surcouf,2021-10-12T17:54:50Z,2021-11-01T12:42:22Z,Marie Surcouf was a French balloonist and feminist.,Marie Surcouf was a French balloonist and feminist.,0
National Film Awards,2021-10-18T10:41:25Z,2021-10-25T14:35:39Z,"Established in 1954, the National Film Awards is the most prominent film award ceremony in India administered by the Indian government's Directorate of Film Festivals since 1973.","Established in 1954, the National Film Awards is the most prominent film award ceremony in India, administered by the Indian government's Directorate of Film Festivals since 1973.",0
Leopard 2,2021-10-01T16:41:03Z,2021-10-26T13:09:09Z,"The Leopard 2 is a main battle tank developed by Krauss-Maffei in the 1970s for the West German Army, armed with a 120 mm smoothbore cannon and powered by a V-12 twin-turbo diesel engine.",The Leopard 2 is a main battle tank developed by Krauss-Maffei in the 1970s for the West German Army.,0
Franck Ribéry,2021-10-02T17:07:20Z,2021-10-30T07:21:21Z,Franck Henry Pierre Ribéry (French pronunciation: ​; born 7 April 1983) is a French professional footballer who plays for Serie A club Salernitana.,Franck Henry Pierre Ribéry (French pronunciation: ​; born 7 April 1983) is a French professional footballer who plays for Serie A club Salernitana.,0
Sokichi Furutani,2021-10-31T13:22:27Z,2021-10-31T13:29:56Z,"Sokichi Furuya was a Japanese serial killer who committed eight murders and two attempted robberies between October 30 and December 12, 1965.","Sokichi Furutani was a Japanese serial killer who murdered eight elderly people in a robbery-murder spree between October 30 and December 12, 1965.",0
DanTDM,2021-10-08T14:49:46Z,2021-10-31T20:50:37Z,"Daniel Robert Middleton, better known online as DanTDM, is an English YouTuber, gamer, musician, author, and actor known for his video game commentaries.","Daniel Robert Middleton, better known online as DanTDM, is an English YouTuber, gamer, musician, author, and actor known for his video game commentaries.",0
Wes Anderson,2021-10-01T00:45:35Z,2021-11-01T20:32:03Z,"Wesley Wales Anderson (born May 1, 1969) is an American filmmaker.","Wesley Wales Anderson (born May 1, 1969) is an American filmmaker.",0
Periyar,2021-10-06T09:16:53Z,2021-10-24T18:39:17Z,"E. V. Ramasamy is known as the 'Father of the Dravidian movement' and is revered as Periyar or Thanthai Periyar, having rebelled against Brahminical dominance and gender and caste inequality in Tamil Nadu.","Erode Venkatappa Ramasamy (17 September 1879 – 24 December 1973), revered as Periyar or Thanthai Periyar, was an Indian social activist and politician who started the Self-Respect Movement and Dravidar Kazhagam.",1
Metroid Fusion,2021-10-08T21:12:45Z,2021-10-23T00:24:39Z,Metroid Fusion is an action-adventure game published by Nintendo for the Game Boy Advance handheld console in 2002.,Metroid Fusion is an action-adventure game published by Nintendo for the Game Boy Advance handheld console in 2002.,0
Walsworth,2021-11-01T07:32:04Z,2021-11-01T09:16:27Z,"Walsworth is a part of the town of Hitchin in Hertfordshire, England.","Walsworth is a part of the town of Hitchin in Hertfordshire, England.",0
Terah,2021-10-01T08:02:01Z,2021-10-09T23:35:20Z,Terah is a biblical figure in the Book of Genesis listed as the son of Nahor and father of the patriarch Abraham.,Terah or Terach (Hebrew: תֶּרַח Teraḥ) is a biblical figure in the Book of Genesis.,0
Colin Powell,2021-10-07T21:45:43Z,2021-11-01T23:21:16Z,"Powell was the first African-American Secretary of State and, prior to the election of Barack Obama as president in 2008, he and his successor, Condoleezza Rice, were the highest-ranking African Americans in the history of the federal executive branch.",Powell was the first African-American secretary of state.,1
Bibras Natcho,2021-10-04T01:53:51Z,2021-10-31T19:53:55Z,Natkho is a Circassian-Israeli footballer who plays as a central midfielder for Serbian club Partizan and captains the Israel national team.,Bibras Natkho is an Israeli footballer who plays as a central midfielder for Serbian club Partizan and captains the Israel national team.,0
ESET NOD32,2021-10-05T11:24:23Z,2021-10-21T09:29:29Z,ESET NOD32 Antivirus is an antivirus software package made by the Slovak company ESET.,"ESET NOD32 Antivirus, commonly known as NOD32, is an antivirus software package made by the Slovak company ESET.",0
