title,timestamp_first,timestamp_end,def_first,def_last,label
Marc Gasol,2021-11-02T17:33:36Z,2021-11-26T08:47:53Z," Marc Gasol Sáez (Catalan pronunciation: : born January 29, 1985) is a Spanish professional basketball player who last played for the Los Angeles Lakers of the National Basketball Association (NBA)."," Marc Gasol Sáez (Catalan pronunciation: : born January 29, 1985) is a Spanish professional basketball player for Bàsquet Girona of the LEB Oro.",1
DZIQ,2021-11-16T21:51:37Z,2021-11-22T21:52:34Z," DZIQ (990 AM) Radyo Inquirer was a news/talk radio station owned and operated by Trans-Radio Broadcasting Corporation, serving as the radio arm of the Philippine Daily Inquirer in the Philippines."," DZIQ (990 AM) Radyo Inquirer was a news/talk radio station owned and operated by Trans-Radio Broadcasting Corporation, serving as the radio arm of the Philippine Daily Inquirer in the Philippines.",0
Twinkie,2021-11-12T02:53:10Z,2021-11-17T21:56:15Z," A Twinkie is an American snack cake, described as ""golden sponge cake with a creamy filling""."," A Twinkie is an American snack cake, described as ""golden sponge cake with a creamy filling"".",0
Peter Zimroth,2021-11-08T23:50:46Z,2021-11-10T21:08:46Z," Peter Lenard Zimroth (January 11, 1943 - November 8, 2021) was an American attorney whose career included service as a law school professor, Assistant U. S. Attorney for Manhattan and region, Assistant District Attorney for Manhattan and most recently (2013) the court-appointed monitor of the NYPD's policies and practices regarding stop-and-frisk."," Peter Lenard Zimroth (January 11, 1943 – November 8, 2021) was an American attorney whose career included service as a legal academic, public official and private practitioner.",0
Statuette of the lady Tiye,2021-11-04T19:57:54Z,2021-11-19T21:18:37Z,The Statuette of the lady Tiye is a wooden statue from the reign of Amenhotep III to Akhenaten (ca.,The Statuette of the lady Tiye is a wooden statue of a high-status woman from the reign of Amenhotep III to Akhenaten (ca.,0
Namdeo Kamble,2021-11-11T15:19:51Z,2021-11-21T14:22:53Z," Namdev Chandrabhan Kamble (born: Shirpur-Washim, January 1, 1948) is an Indian Marathi language writer, journalist and teacher."," Namdeo Chandrabhan Kamble (born: Shirpur-Washim, January 1, 1948) is an Indian Marathi-language writer, social worker, journalist and teacher.",0
Ernst te Peerdt,2021-11-18T00:22:37Z,2021-11-18T00:34:10Z," Ernst Carl Friedrich te Peerdt (25 November 1852, Tecklenburg - 20 February 1932, Düsseldorf) was a German painter, associated with the Düsseldorfer Malerschule and the Münchner Schule."," Ernst Carl Friedrich te Peerdt (25 November 1852, Tecklenburg - 20 February 1932, Düsseldorf) was a German painter, associated with the Düsseldorfer Malerschule and the Münchner Schule.",0
Gretta Ray,2021-11-01T02:40:44Z,2021-11-29T01:26:02Z," Gretta Ray (born 1998) is an Australian singer-songwriter from Melbourne, Victoria."," Gretta Ray (born 1998) is an Australian singer-songwriter from Melbourne, Victoria.",0
Paul Benioff,2021-11-07T14:57:21Z,2021-11-27T12:26:04Z," Paul A. Benioff (born May 1, 1930 in Pasadena, California) is an American physicist who helped pioneer the field of quantum computing."," Paul Anthony Benioff (born May 1, 1930 in Pasadena, Los Angeles County, California) is an American physicist who helped pioneer the field of quantum computing.",0
Francis Makemie,2021-11-09T00:35:27Z,2021-11-09T07:11:33Z," Francis Makemie (1658–1708) was an Ulster Scots clergyman, considered to be the founder of Presbyterianism in United States of America."," Francis Makemie (1658–1708) was an Ulster Scots clergyman, considered to be the founder of Presbyterianism in the United States of America.",0
