title,timestamp_first,def_first,timestamp_end,def_end
(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase,2007-12-12T20:37:08Z,"<y> -12-12T20:37:08Z </y> In enzymology, a <t> (1-hydroxycyclohexan-1-yl)acetyl-CoA lyase </t> (EC 4.",2020-10-01T12:41:21Z,<y> -07-27T11:33:13Z </y>  This enzyme is also called (1-hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase.
"(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase",2007-11-13T19:13:56Z,"<y> -11-13T19:13:56Z </y> In enzymology, a <t> (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase </t> (EC 1.",2019-09-23T07:22:04Z,"<y> -07-30T06:51:46Z </y> In enzymology, a <t> (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase </t> (EC 1."
(Every Time I Turn Around) Back in Love Again,2007-11-13T00:32:13Z,"<y> -11-13T00:32:13Z </y> ""<t> (Every Time I Turn Around) Back in Love Again </t>"" was a hit song for R&B/funk band L. T. D. Released from their Something to Love album, it spent two weeks at number one on the R&B singles chart in the fall of .",2021-05-22T18:51:06Z,"<y> -12-17T19:06:37Z </y> This is the current revision of this page, as edited by XF1998 (talk | contribs) at 19:06, 17 December ."
(I Am) The Seeker,2007-12-24T14:59:35Z,<y> -12-24T14:59:35Z </y> <t> (I Am) The Seeker </t> is a song written by ABBA composers Björn Ulvaeus and Benny Andersson towards the end of the group.,2010-10-05T08:19:13Z,<y> -09-10T21:58:21Z </y> The Seeker is a song written by ABBA composers Björn Ulvaeus and Benny Andersson towards the end of the group's career.
(R)-2-haloacid dehalogenase,2007-11-21T23:47:33Z,"<y> -11-21T23:47:33Z </y> In enzymology, a <t> (R)-2-haloacid dehalogenase </t> (EC 3.",2019-09-23T07:23:11Z,"<y> -04-17T11:11:36Z </y> In enzymology, a <t> (R)-2-haloacid dehalogenase </t> (EC 3."
(R)-2-methylmalate dehydratase,2007-11-21T21:21:10Z,"<y> -11-21T21:21:10Z </y> In enzymology, a <t> (R)-2-methylmalate dehydratase </t> (EC 4.",2019-09-23T07:23:18Z,"<y> -09-02T19:35:26Z </y>  Other names in common use include citraconate hydratase, citraconase, citramalate hydro-lyase, (−)-citramalate hydro-lyase, and (R)-2-methylmalate hydro-lyase."
(R)-limonene 6-monooxygenase,2007-11-13T18:41:02Z,"<y> -11-13T18:41:02Z </y> In enzymology, a <t> (R)-limonene 6-monooxygenase </t> (EC 1.",2020-11-07T20:04:53Z,"<y> -03-27T07:37:11Z </y>  Other names in common use include (+)-limonene-6-hydroxylase, and (+)-limonene 6-monooxygenase."
(R)-pantolactone dehydrogenase (flavin),2007-11-13T21:06:19Z,"<y> -11-13T21:06:19Z </y> In enzymology, a <t> (R)-pantolactone dehydrogenase (flavin) </t> (EC 1.",2020-12-31T13:48:22Z,<y> -03-27T07:46:28Z </y>  This EC 1.
(Ribulose-bisphosphate carboxylase)-lysine N-methyltransferase,2007-11-13T19:35:14Z,"<y> -11-13T19:35:14Z </y> In enzymology, a -lysine N-methyltransferase (EC 2.",2020-12-24T16:09:20Z,"<y> -08-08T07:58:38Z </y> In enzymology, a -lysine N-methyltransferase (EC 2."
(S)-limonene 3-monooxygenase,2007-11-13T18:41:12Z,"<y> -11-13T18:41:12Z </y> In enzymology, a <t> (S)-limonene 3-monooxygenase </t> (EC 1.",2020-01-31T19:51:35Z,<y> -09-29T10:55:51Z </y>  This enzyme participates in monoterpenoid biosynthesis.
